Site,Year,Habitat,Start_m,End_m
BAFB 1,2022,R,0,1
BAFB 1,2022,T,1,10
BAFB 1,2022,R,10,11
BAFB 1,2022,P,11,64
BAFB 1,2022,R,64,87
BAFB 1,2022,T,87,104
BAFB 1,2022,R,104,150
BAFB 2,2022,P,0,14.8
BAFB 2,2022,R,14.8,40
BAFB 2,2022,R,80,96
BAFB 2,2022,R,100,144
BAFB 3,2022,P,1,150
BAFB 1,2023,T,0,16
BAFB 1,2023,R,16,56
BAFB 1,2023,T,56,64
BAFB 1,2023,P,64,150
BAFB 2,2023,P,0,71
BAFB 2,2023,T,71,78
BAFB 2,2023,R,78,86
BAFB 2,2023,T,86,95
BAFB 2,2023,P,95,150
BAFB 3,2023,P,0,71
BAFB 3,2023,T,71,78
BAFB 3,2023,R,78,86
BAFB 3,2023,T,86,95
BAFB 3,2023,P,95,150
BAFB 1,2024,T,150,118
BAFB 1,2024,R,118,114
BAFB 1,2024,T,114,102
BAFB 1,2024,R,102,97
BAFB 1,2024,T,97,89
BAFB 1,2024,R,89,84
BAFB 1,2024,T,84,39
BAFB 1,2024,R,39,27
BAFB 1,2024,T,27,0
BAFB 2,2024,T,0,21
BAFB 2,2024,R,21,37
BAFB 2,2024,T,37,42
BAFB 2,2024,R,42,50
BAFB 2,2024,T,50,56
BAFB 2,2024,P,56,90
BAFB 2,2024,T,90,100
BAFB 3,2024,P,0,32
BAFB 3,2024,T,32,44
BAFB 3,2024,P,44,150