Site,Year,Transect,Wetted_Width,Bank_stability_L,Bank_stability_R,Bank_cover_L,Bank_cover_R,Angle_L,Angle_R,Densiometer_L,Densiometer_U,Densiometer_D,Densiometer_R,Compass_bearing,Deviation,Sinuosity_Northing,Sinuosity_Easting,Riparian_cover_H,Riparian_cover_B,Riparian_cover_T,Riparian_cover_E,D-1,V-1,ST-1,D-2,V-2,ST-2,D-3,V-3,ST-3,D-4,V-4,ST-4,D-5,V-5,ST-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,0,1510,E,S,,,M,M,5,0,4,2,,,0,0,,,,,33,160,256,12,140,256,19,100,50,18,120,80,27,140,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,8,1480,E,S,,,M,M,0,0,0,0,208,208,-7.063580743,-3.755772502,1,1,1,0,19,40,256,35,0,60,23,0,75,39,140,256,29.5,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,16,1260,E,S,,,M,M,0,0,0,3,208,208,-14.12716149,-7.511545005,1,1,1,0,89.5,40,256,134,0,256,87,40,80,63,0,30,40.5,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,24,1085,E,S,,,M,M,0,0,0,5,200,200,-7.517540966,-2.736161147,1,1,0,0,92,0,256,140,20,256,115,40,100,84,60,80,47,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,32,850,E,S,,,M,M,0,0,0,0,192,8,-7.825180806,-1.663293527,1,1,0,0,45,40,256,48,60,256,50,80,256,51,50,50,47,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,40,1570,E,S,,,M,M,0,0,0,0,192,0,-7.825180806,-1.663293527,1,1,0,0,26,30,256,51,70,256,50,80,256,38,50,60,28,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,48,936,E,E,,,M,M,0,0,0,2,211,19,-6.857338406,-4.120304599,1,1,0,0,28,120,256,41,100,100,34,80,256,22,40,50,23,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,56,1800,E,E,,,M,M,0,0,0,2,218,7,-6.304086029,-4.925291803,1,1,0,0,58,60,256,45,60,1,31,50,40,23,40,20,16,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,64,1405,E,E,,,M,M,0,0,0,2,226,8,-5.557266964,-5.754718403,1,1,0,0,38,160,40,39,120,40,40,50,1,34,20,1,28,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,72,1330,E,E,,,M,M,0,0,0,2,242,16,-3.755772502,-7.063580743,0,0,0,0,24,240,60,23,80,120,20,350,100,21,220,80,22,220,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,80,842,E,E,,,M,M,0,0,0,3,240,2,-4,-6.92820323,0,0,0,0,15,220,30,18,360,256,36,280,200,13,50,20,10,120,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,88,1220,E,E,,,M,M,0,0,0,0,250,10,-2.736161147,-7.517540966,1,0,0,0,15,280,160,31,340,80,16,130,50,17,160,40,15,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,96,1350,E,E,,,M,M,0,0,0,0,250,0,-2.736161147,-7.517540966,1,0,0,0,28,220,20,32,130,80,22,140,30,25,160,20,16,80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,104,1740,E,E,,,M,M,0,0,0,0,254,4,-2.205098847,-7.690093568,1,0,0,0,17,280,100,20,240,40,28,240,40,22,320,256,24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,112,1480,E,E,,,M,M,0,0,0,0,244,10,-3.506969174,-7.19035237,1,0,0,0,17,40,40,27,300,50,21,470,256,15,160,160,16,140,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,120,1385,E,E,,,M,M,0,0,0,0,238,6,-4.239354114,-6.784384769,1,0,0,0,21,60,80,20,60,70,28,240,256,14,300,256,26,220,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,128,1210,E,V,,,M,M,0,0,0,0,236,2,-4.473543228,-6.63230058,1,0,0,0,35,140,140,27,220,256,31,20,60,43,120,100,37,120,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,136,944,E,V,,,M,M,0,0,0,0,162,74,-7.60845213,2.472135955,1,0,0,0,17,80,256,30,180,50,49,410,120,30,320,160,0,80,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,144,1310,E,V,,,M,M,0,0,0,1,248,86,-2.996852747,-7.417470837,1,0,0,0,23,200,70,34,200,190,11,40,256,30,240,256,29,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,150,1400,E,V,,,M,M,0,0,0,0,278,30,0.835038606,-5.941608412,1,0,0,0,11,100,70,21,220,20,27,120,256,22,280,256,30,20,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,0,1890,,,,,,,0,0,0,11,,,0,0,,,,,120,0,1,60,10,9,80,0,9,135,0,9,60,10,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,8,1670,S,S,,,,,0,0,0,0,284,284,1.935375165,-7.76236581,3,2,1,0,70,0,1,35,10,1,70,20,9,90,0,9,150,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,16,1100,S,S,,,,,0,0,0,4,284,0,1.935375165,-7.76236581,4,2,2,0,30,0,1,60,20,9,80,20,9,120,0,9,130,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,24,1020,S,S,,A,,,0,0,0,0,300,16,4,-6.92820323,4,2,3,0,30,0,9,69,20,9,50,0,9,30,90,9,95,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,32,1060,S,S,,A,,,3,0,7,7,300,0,4,-6.92820323,4,4,3,1,30,100,9,50,0,9,45,50,9,50,0,1,75,20,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,40,890,S,S,,A,,,0,2,2,2,292,8,2.996852747,-7.417470837,4,3,3,0,20,0,40,30,0,100,120,20,1,90,10,100,90,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,48,800,S,S,,A,,,0,3,0,3,292,0,2.996852747,-7.417470837,2,3,3,0,20,0,80,110,0,1,190,10,300,130,0,250,115,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,56,730,S,S,,A,,,0,0,0,7,292,0,2.996852747,-7.417470837,1,1,2,0,80,0,9,170,0,9,120,0,256,50,0,200,60,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,64,700,S,S,,A,,,0,5,0,5,298,6,3.755772502,-7.063580743,1,1,3,0,30,0,150,110,0,9,200,0,200,150,0,350,70,0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,72,770,S,S,,A,,,0,0,0,0,298,0,3.755772502,-7.063580743,2,2,3,0,50,0,1,120,0,1,140,0,9,60,0,1,60,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,80,800,S,S,,A,,,0,4,4,11,286,12,2.205098847,-7.690093568,2,2,1,2,110,0,9,150,0,9,160,0,9,170,0,9,150,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,88,670,S,S,,A,,,0,0,0,10,258,28,-1.663293527,-7.825180806,1,3,1,0,70,10,180,100,30,1,150,20,1,140,10,1,120,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,96,500,S,S,,,,,0,8,0,10,280,22,1.389185421,-7.878462024,2,2,3,0,110,0,9,170,30,120,120,10,256,40,20,1,90,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,104,770,S,S,,,,,0,1,1,0,280,0,1.389185421,-7.878462024,2,2,2,0,40,10,70,30,10,9,60,40,1,50,30,1,60,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,112,1040,S,S,,,,,3,0,0,5,258,22,-1.663293527,-7.825180806,2,2,2,0,20,0,80,30,0,100,40,10,9,60,20,9,40,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,120,1100,S,S,V,V,,,4,2,2,17,214,44,-6.63230058,-4.473543228,2,3,2,0,60,0,9,70,10,9,50,10,9,40,20,70,20,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,128,810,S,S,V,V,,,0,0,0,0,230,16,-5.142300877,-6.128355545,0,0,2,0,40,0,9,45,0,230,65,0,120,45,0,80,30,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,136,1320,S,S,V,,,,0,1,1,0,212,18,-6.784384769,-4.239354114,1,0,1,0,70,0,9,90,0,9,30,0,9,20,0,9,30,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,144,1210,S,S,V,,,,0,0,0,0,220,8,-6.128355545,-5.142300877,0,0,1,0,60,10,9,60,0,80,50,10,60,80,10,60,70,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2022,150,1730,S,S,V,,,,0,0,0,0,198,22,-5.706339098,-1.854101966,1,0,0,0,70,10,9,90,0,1,100,10,1,60,20,120,80,20,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,0,1950,S,S,,,S,M,17,0,0,15,,,0,0,,,,,310,0,1,360,0,256,400,0,1,420,0,1,270,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,8,1960,S,S,V,V,S,S,15,0,0,3,280,280,1.389185421,-7.878462024,4,3,3,0,290,0,1,360,0,1,330,0,9,350,0,9,300,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,16,1870,S,S,V,V,S,S,15,0,0,17,250,30,-2.736161147,-7.517540966,5,3,2,0,280,0,0.1,290,0,0.1,340,0,1,310,0,9,300,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,24,1870,S,S,V,V,S,S,4,0,0,17,284,34,1.935375165,-7.76236581,5,3,2,0,220,0,256,230,0,9,270,0,9,260,0,60,330,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,32,1890,S,S,V,V,M,M,12,16,9,10,284,0,1.935375165,-7.76236581,5,4,4,0,250,0,1,210,0,80,140,0,1,180,0,9,140,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,40,1720,S,S,V,V,S,S,15,6,12,6,280,4,1.389185421,-7.878462024,5,3,4,0,140,0,60,250,0,100,40,0,60,60,0,0.1,50,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,48,1480,S,S,V,V,S,S,17,3,9,10,284,4,1.935375165,-7.76236581,5,4,4,0,220,0,9,140,0,80,10,0,9,60,0,9,70,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,56,1650,S,S,V,V,S,S,17,9,5,15,290,6,2.736161147,-7.517540966,5,5,4,0,170,0,0.1,100,10,9,140,20,9,140,10,9,230,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,64,1760,S,S,V,V,S,S,17,0,0,3,288,2,2.472135955,-7.60845213,4,4,3,0,90,0,1,40,0,9,160,10,256,190,0,1,110,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,72,1570,S,S,V,V,S,S,7,0,0,5,274,14,0.55805179,-7.980512402,4,4,2,0,70,0,1,100,0,1,280,10,9,330,0,1,200,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,80,1220,S,S,V,V,M,S,9,0,0,15,288,14,2.472135955,-7.60845213,3,4,1,0,230,0,1,320,0,0.1,40,0,9,430,0,256,460,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,88,1110,S,S,V,V,S,S,3,0,0,0,284,4,1.935375165,-7.76236581,4,3,1,0,150,0,0.1,270,10,1,220,10,1,260,0,256,290,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,96,1060,S,S,V,V,S,M,2,0,0,0,282,2,1.663293527,-7.825180806,4,3,1,0,60,0,256,270,10,1,230,10,9,230,10,256,200,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,104,1340,S,S,V,V,S,S,7,0,0,0,294,12,3.253893145,-7.308363661,3,3,1,0,130,0,1,250,10,9,230,10,9,300,0,9,240,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,112,1090,S,S,V,V,S,M,7,0,0,7,268,26,-0.279195974,-7.995126616,2,4,1,0,210,0,9,260,0,1,280,10,9,310,0,9,330,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,120,1320,S,S,V,O,S,M,15,0,0,3,274,6,0.55805179,-7.980512402,2,3,1,0,240,0,256,260,0,9,260,0,1,320,0,16,260,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,128,1540,S,S,V,V,M,M,17,0,0,5,274,0,0.55805179,-7.980512402,2,3,2,0,250,0,0.1,270,0,9,240,10,9,300,0,0.1,310,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,136,1610,S,S,V,V,S,M,17,0,0,15,270,4,0,-8,2,4,3,0,240,10,9,220,0,9,200,0,0.1,230,0,9,280,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,144,1700,S,S,V,V,S,S,4,0,0,10,310,40,5.142300877,-6.128355545,2,4,3,0,240,10,9,150,0,9,120,0,9,180,0,0.1,220,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_3,2022,150,1890,S,S,V,V,M,S,8,1,1,17,284,26,1.451531374,-5.821774358,2,2,2,0,240,0,1,160,0,9,80,10,1,140,0,9,250,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,0,1500,S,V,A,O,S,S,0,0,0,0,,,0,0,,,,,25,10,23,50,40,42,34,20,256,38,20,256,29,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,8,1170,S,V,A,O,S,S,2,0,0,0,220,220,-6.128355545,-5.142300877,1,0,0,0,23,20,256,34,20,1,47,20,45,35,10,97,15,10,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,16,1350,V,V,O,O,S,S,3,0,2,1,218,2,-6.304086029,-4.925291803,1,1,1,0,14,0,19,36,40,102,21,10,10,20,10,256,8,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,24,1680,V,V,O,O,S,S,17,3,1,12,225,7,-5.656854249,-5.656854249,1,1,1,0,12,60,72,7,30,1,19,70,131,25,50,81,27,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,32,900,V,S,O,V,S,S,1,4,0,11,235,10,-4.588611491,-6.553216354,1,1,2,0,30,10,0.1,20,60,1,18,80,160,14,50,12,12,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,40,540,V,S,O,V,S,S,0,0,2,10,250,15,-2.736161147,-7.517540966,1,2,2,0,8,0,256,30,0,256,39,50,39,44,70,60,16,40,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,48,440,V,S,O,A,M,S,4,0,14,7,260,10,-1.389185421,-7.878462024,1,2,2,0,17,10,31,12,110,48,24,110,256,32,100,32,8,70,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,56,680,V,S,O,V,M,S,7,1,0,15,275,15,0.697245942,-7.969557585,1,2,1,1,53,0,0.1,52,10,1,48,50,256,54,20,256,27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,64,1120,V,S,O,V,M,M,16,0,0,10,280,5,1.389185421,-7.878462024,1,1,1,0,24,0,256,36,20,256,73,20,256,100,,,56,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,72,1230,V,S,O,A,M,U,0,3,0,15,290,10,2.736161147,-7.517540966,1,1,1,0,44,0,40,35,10,256,60,10,256,100,,,60,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,80,1300,V,S,O,A,S,M,0,2,0,16,292,2,2.996852747,-7.417470837,1,1,1,0,18,0,256,40,0,256,93,10,1,65,10,9,20,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,88,1480,S,S,V,A,S,U,17,3,1,4,292,0,2.996852747,-7.417470837,2,2,1,0,48,0,256,41,10,256,93.5,10,1,41,10,1,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,96,1320,V,S,V,A,M,U,16,0,4,17,290,2,2.736161147,-7.517540966,2,1,2,1,18,0,256,31,0,120,35,0,256,45,20,9,35,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,104,1300,V,S,V,A,S,U,17,0,0,17,290,0,2.736161147,-7.517540966,2,2,2,1,22,0,256,10,0,256,72.5,20,9,72,20,256,10,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,112,1010,E,S,O,A,S,U,14,2,0,17,288,2,2.472135955,-7.60845213,1,2,1,0,28,0,256,52,0,256,67,20,256,67,10,9,25,20,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,120,750,E,S,O,A,S,U,4,1,0,17,286,2,2.205098847,-7.690093568,1,2,2,0,63,10,9,63,10,9,69,20,9,43,10,9,12,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,128,1165,E,S,O,V,S,M,1,0,0,16,282,4,1.663293527,-7.825180806,1,2,1,0,21,0,256,37,0,45,43,0,45,41,0,53,18,10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,136,1280,E,E,O,V,S,S,1,0,0,16,282,0,1.663293527,-7.825180806,1,1,1,1,28,0,256,41,10,16,47,20,16,16,0,1,6,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,144,1310,E,V,O,V,S,S,7,0,0,16,281,1,1.526471963,-7.853017468,1,2,2,0,50,10,256,50,20,9,31,10,9,24,0,195,7,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_2,2023,150,1290,V,S,V,V,S,S,17,0,0,17,281,0,1.144853972,-5.889763101,1,2,3,0,45,10,256,72.5,20,1,64,10,1,16,0,30,21,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2023,0,1900,S,V,A,V,M,S,4,0,0,1,,,0,0,,,,,39,0,256,22,20,256,27,20,1,30,20,45,8,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2023,8,1640,S,E,A,O,U,S,7,0,0,0,222,222,-5.945158604,-5.353044851,1,1,1,0,29,10,256,45,10,29,16,20,31,29,40,47,16,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2023,16,1810,S,E,A,O,U,S,1,0,0,0,225,3,-5.656854249,-5.656854249,1,0,1,0,52,0,256,150,0,256,45,0,42,17,10,1,8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
